response	text
"{'怎么了呀，有什么问题都跟我讲，后续有其他问题还可以来找我哦', '是遇到什么问题了嘛，可以和我说说的', '怎么了呀', '是遇到什么问题了嘛', '怎么了呀，是遇到什么问题了吗？', '哥，您消消气哈，我们也是希望游戏里有良好的游戏环境，能够尽量爆出自己想要的装备，装备的淘气是最重要的'}"	没心情玩了
"{'哥是觉得哪方面有恶意的地方呢，可以跟我说说的', '哥是觉得游戏里的玩法太恶心了嘛', '哥，您消消气哈，游戏内的玩法都是随机的，并不是说充值多少就一定能获得想要的装备，您这边有什么好的建议，可以跟我说说，我帮您进行反馈，希望能让您开心', '哥您消消气，您这边有什么建议都是可以跟我说的，我们也是一直在优化游戏的运营和维护方面的', '哥您消消气，您具体是遇到什么问题了呢，请详细描述下，待专属客服上线后帮您解答~', '您先消消气，我们游戏确实没有单独修改某一个玩家数据的操作呢，您做为我们的忠实玩家，我们肯定是希望您在游戏中获取一个很好的体验的。确实这个东西不受人为控制，妹妹妹也能理解的，一直接触发展现，妹妹妹妹的运气，实力，这么，这个啥时候不见过度，妹妹妹的没啥，妹妹妹妹的，妹妹，妹妹妹，啥的'}"	你这服麻痹很恶心，你出啥活动都没意义，没啥人弄得，这服被你们设计的弄死了，第一次见那么恶心的服，麻痹到死动都动不了，早也不投资了，一分都不给了
"{'跨服的话，系统是根据区服的综合情况来安排的，在周二最后的时候都是会重新匹配', '合区都是根据情况不定时来进行的呢', '单机两个月，不要充值', '跨服里面的资源比较强的话也是可以去对应的转生地图的，不一定要都一样，也可以打到材料', '合区都是根据区服整体来安排，优先考虑邻近区服，您如果对合区有什么需求都是可以提的，策划那边也会合理参考', '合区都是运营根据游戏整体生态区服真实情况安排，可能部分区服安排不会那么完美，大家可以将合区提交建议，具体合区还是要看运营那边的安排，我们会尽量为大家反馈的哦~'}"	我们区就跟单机一样
"{'目前线下设置的累充福利档位是1##k、3##k、5k、1##w、2##w、3##w、5##w等等这些的，您达到充多少可以申请累充礼包', '您是说游戏内的累充礼包么？这个是累充1##w的福利礼包，您角色充值达到3##w后可以再找我申请一个', '目前线下设置的累充福利档位是1##k、3##k、5k、1##w、2##w、3##w、5##w等等这些的，您达到充值档位后，等人工客服上班后为您申请', '目前档位礼包分别为：1千、2千、5千、8千、1##w、3##w、5##w，当前档位礼包查询可第二日咨询人工客服进行核实是否达到条件。', '目前线下设置的累充福利档位是1##k、3##k、5k、1##w、2##w、3##w、5##w等等这些的，您达到充值档位后，提供下区服和对应的角色等人专属工客服上班后为您申请', '目前线下设置的累充福利档位是1##k、3##k、5k、1##w、2##w、3##w、5##w等等这些的'}"	领下累充礼包
"{'好的，这些礼包哥没有领取的话，可以在系统设置-礼包码那里领取，这些礼包您可以在游戏内福利大厅里兑换试试，稍等，我先看下您的专属福利', '好的，我提交技术核实处理一下', '好的，这些礼包哥没有领取的话，可以在系统设置-礼包码内兑换，稍等，我先看下您的专属福利还有个问卷福利礼包，需要填写下问卷，哥有空可以填下，提交后记得截图发给我~，为了您的账号安全，避免忘记密码、账号丢失无法找回等情况，请您一定不要更换抖音账号且抖音账号不要更换手机号码如果抖音切换账号和更换过手机号码就会登陆续费是1..6万档位小额大额大额充值1##w,填写1##w,填写1.apk', '好的，这些礼包哥没有领取的话，可以复制到福利大厅进行兑换试试，稍等，我先看下您的福利情况这边还在申请中，您后续有其他问题还可以来找我', '查询到该角色在游戏中存在违规词汇而被系统进行了处理，这个无法解除，请您在游戏中尽量避免哦', '好的，这些礼包哥没有领取的话，可以复制到福利大厅进行兑换试试，稍等，我先看下您的专属福利'}"	1316区剑指疯狂
"{'哥，我这边是无法查询到您的充值记录的，麻烦您提供一下该账号最近3笔充值订单截图，以及绑定手机号，第二天提交人工客服为您查询核实', '哥，我们当前确实是没有充值优惠和折扣的，这个是每一个玩家都相同的呀', '哥，我们游戏充值档位礼包是1##k、3##k、5k、1##w、2##w、3##w、5##w、10##w、15##w，您达到对应的充值可以发一下您的区服和角色名，白天专属客服帮您查询看看是否有可以使用的礼包', '目前专属客服已下线，请提供下角色信息，待专属客服上线后会第一时间帮您看的喔~', '目前专属客服已下线，请提供下角色信息，待专属客服上线后会第一时间帮您查询的喔~', '哥您可以提供下您的账号，我帮您查询下累充礼包哦'}"	昨天我又充了3000，美女你查下
"{'我们这边的话是没有制作过第三方挂机的系统，但是这个我们也是不能进行干涉的，所以我们也是不了解玩家在游戏内具体的操作情况的。', '您说的锁屏挂机具体是指什么呢？', '我们游戏主要是手游，暂时没有办法', '这个已经反馈过了，后面说不定会改动呢', '您说的锁屏挂机是指的什么意思呀，游戏内的玩家行为都是会进行自动检测的', '我这边会反映给技术进行处理的哦，不过具体的话还是要看技术那边的安排的哈'}"	建议可以锁屏挂机
"{'目前暂时没有新的礼包码了，后续有新的福利和活动也会及时通知您的', '目前礼包就是日常通用礼包和专属充值档位礼包，有1##k、3##k、5k、1##w、2##w、3##w、5##w、10##w、15##w、20##w，您达到对应的充值可以发一下您的区服和角色名，上班后专属客服帮您查询看看是否有可以使用的礼包', '目前档位礼包分别为：1千、2千、5千、8千、1##w、3##w、5##w，当前档位礼包查询可第二日咨询人工客服进行核实是否达到条件。', '您好，我是夜间机器人小灵。月度礼包[礼物]，周度礼包[礼物]', '您好，我是夜间机器人小灵。哥，礼包码请查收[玫瑰]', '我来了'}"	我冲到了 你睡醒了给我发礼包码
"{'哥您是遇到什么问题了嘛，跨服的话是根据区服整体来安排，优先考虑邻近区服，您如果对于跨服有什么想法的话都是可以提的，策划那边也会合理参考', '跨服匹配的是哪个区呢', '哥您具体是遇到了什么问题呀~', '跨服的话都是随机进行匹配的哈，所以也是有可能会匹配到很多区服的，所以会稍微晚点再进行匹配，您可以先打打看的', '跨服匹配是根据区服内的综合实力进行匹配的，在目标区服满足合区条件后，会尽快安排合区，同时随着游戏的更新多出新的跨服活动和后续的活动肯定也是会考虑玩家的情况的', '您先消消气，这个问题帮您提交给相关部门核实处理，您后续还是可以通过游戏内的情况进行判断'}"	今天的跨服怎么这么多个区跨服，让不让人玩了
"{'哥您可以详细说一下您的意见和建议吗，我们的更新玩法是按照一个综合情况匹配的', '您先别急，合区维护时间延长了，发布了公告呢', '您好，合区并不是固定的，所以需要考虑当前的合服情况，同时帮您进行登记', '您好，合区是根据各个区服实际情况做出的综合匹配调整，在目标区服满足合区条件后，会尽快安排合区，同时随着合区次数增多，所需时间也会增多，所以需要排期也会更久（包括下周三也会进行合区）', '您先消消气，合区也希望能让每个区匹配到最符合的综合战力，但也往往并不会有完全或者相差不大的综合战力。能够进行合区的，都是各方面目前选择下做的最好的选择。', '哥您别着急，合区维护时间延长了，发布了公告呢'}"	尼玛 几个区结盟干不过人家几个人 还怎么玩
